model_name,review,average_rating
IPAflashcards: The International Phonetic Alphabet. Mastered.,"English teachers who work with native speakers of other languages will be thrilled with these flash cards. They are handsomely printed on durable stock with a protective coating for years of shuffling. I've been making my own for over twenty years, but the result has never approached the artful and clear design of these sturdy and compact cards. Students of linguistics should also find these cards useful for developing fluency in IPA transcription. The transcription of the example words for English is a nice compromise between overly broad and unnecessarily narrow. Diacritics, for example, are largely limited to markers of length and syllabicity. A General American accent is the model; primary and secondary stress are marked, as are syllable boundaries. For most ESOL/EFL teachers (at least in the US), the 43 cards covering all the sounds of American English will get the most use, and they are conveniently color-coded (Deck 2) to distinguish them from the rest. Linguistics students will likely spend more time with the other two decks, one with the symbol on one side and its phonetic description on the reverse, and the other giving the names for the individual symbols. The decision to separate into decks and package all three decks together was both generous and wise: for a slightly higher price, you have the capability to accurately describe the languages of any of your students, even if they hail from South Sudan! One might complain that a tool for teaching the sounds of a language should actually make those sounds audibly. (Perhaps the folks at Minokidowinan already have an app for the iPhone in the works!) But really, the task to which these flashcards are best suited is improving the fluency of phonetic transcription, which is, after all, necessarily a written exercise.",4
IPAflashcards: The International Phonetic Alphabet. Mastered.,"I'm starting my Masters in Teaching English as a Second Language so I wanted something to help me with studying the phonetic alphabet. These cards are ok, but I wish for the price they would have a little more information. They give you the mere basics you would expect from flash cards and do not give much more explanation. That would be fine if I wasn't paying almost 60$ for them. There are many complex terms on the cards that they do not explain at all. SO not a bad set, but I would have liked them to be a bit more in depth than they are. Other than that they are made well and have a good organization system.",4
IPAflashcards: The International Phonetic Alphabet. Mastered.,Excellent resource!,4
IPAflashcards: The International Phonetic Alphabet. Mastered.,Must have!,4
IPAflashcards: The International Phonetic Alphabet. Mastered.,I purchased these flash cards to get a head start on my Speech and hearing class in International Phonetic Alphabet study. These flash cards are perfect and I will get a lot of use out of them.,4
IPAflashcards: The International Phonetic Alphabet. Mastered.,"As one with a Bachelor's in Linguistics and much exposure to the world's languages, I have to say these flash cards are excellent. They are broken down into 3 different flash card types, each one helpful in its own way to mastering the phonetics of the world's languages. My only disclaimer would be that these cards do require some base-level prerequisite linguistic knowledge. For example, one set of the cards provides the IPA symbol on one side and the description of the sound on the other. If you are not familiar with basic phrases used in phonetics like ""central, back, closed, rounded,"" etc... you may have to do some research before using the cards, because there is not an in-depth explanation on the cards. It is this simplicity and organization of the cards that I actually greatly appreciate. Lastly, these cards may seem a little pricey... I will say that I think it is worth it. These cards are made to last and they are a great tool for learning, teaching, using with non-native speakers of a language, using for students learning other languages, etc. I would recommend these cards to anyone interested in linguistics, learning a new language, or teaching.",4
IPAflashcards: The International Phonetic Alphabet. Mastered.,"While I have a pretty limited knowledge of phonetics/linguistics as a formal discipline, I entered a drawing to win a set of these cards, because although I have rudimentary knowledge about the IPA, I have always been very interested in it. These cards make learning and understanding the international phonetic alphabet accessible, and not intimidating. The three different decks break down each symbol into three components- the phonetic description, transcriptions, and the symbol name. This breakdown allows you to focus on studying one component without being inundated with too much information, which is helpful if you've just been introduced to the IPA/ phonetics study, and allows you advance your study at your own rate. The cards are clear and concise, and laid out nicely! I've really been enjoying using and learning these cards!",4
David Busch's Canon EOS Rebel T3/1100D Guide to Digital SLR Photography (David Busch's Digital Photography Guides),When I bought my Canon EOS Rebel T3 I was overwhelmed with all the bells and whistles. I started in reading the manual and was really worried I wasn't getting clear enough information to use everything the camera offers. Then I bought David Busch's book and my worries were put to rest. Everything is explained in a clear way with lots of pictures to show you exactly what to do. This is a must have book if you own this camera and are just learning photography with DSLR cameras. It even has a companion book with the same name but in a spiral bound field guide. Buy it too and take it with you when you are away from your big book and need quick answers.,4
David Busch's Canon EOS Rebel T3/1100D Guide to Digital SLR Photography (David Busch's Digital Photography Guides),"This was bought as a Christmas gift to go along with the camera I gave my son. He seems to be well satisfied with it. The book is well written with lots of good information you can use. It came quickly, was in perfect condition, & no problems with the product or the seller.",4
David Busch's Canon EOS Rebel T3/1100D Guide to Digital SLR Photography (David Busch's Digital Photography Guides),"David Busch's Canon EOS Rebel T2i/550D Guide to Digital SLR Photography I got this book to help me learn about and use the features of the Canon T2i DSLR camera and have not been disappointed in it at all. I used to use a 35mm film camera until I switched to digital about 10 years ago and needed to refresh my memory on what and how to change aperture-shutter speed-iso, etc. to get good photos with this new camera. I was using basic point and shoot digital before this purchase. The book has been a great addition to the camera manual and the author expands and explains the settings so much better than the manual that came with the camera. The only criticism I might have is that I would like it to be spiral bound to lay flat. I am reading a section then laying the book down to try out the technique with my camera and the book always flops closed.",4
