model_name,review,average_rating
"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive)",I purchased this item advertised as Used which is fine with me as I'm on a budget. The price is deal breaker. Beware though I just got it whole shipping was reasonable time the product Piece of junk. In comments Now the want to tell me it's only for parts doesn't even work plus no charger. So here I have this useless old laptop and negativa pockets Merry Christmas to me. Do not buy ANYTHING.... I only took the time to post this to prevent someone else's LoSS.,2
"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive)",when I receive the computer the screen is all scratched up bad! I will be returning it for another one or a refund! it was ranked almost 4 stars and given a 95 Percent,2
"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive)","Originally the Apple iBook Laptop that I received was not the requested 600-MHz PowerPC G3, 128 MB RAM, 20 GB hard drive. When the seller was made aware of this, they immediately sent me not just the originally requested laptop, but an upgraded 800mhz/256mb RAM/30gb HDD model, as well as a partial refund! Thanks to exceptional service by this seller, I now have an excellent computer.",2
"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive)",Very pleased with this purchase. It was a gift for my boyfriend and it works beautifully. I would definitely recommend this to anyone looking for a dependable computer at a cheap price.,2
"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive)",Computer has never worked. Screen is black only. Price was cheap so I guess you get what you pay for!,2
"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive)","I really do not like the product that I got. It is not willing to connect to the internet, i've tried numerous ways. The screen does not want to turn on unless its in a certain position which makes it impossible to type and read at the same time. I am really disappointed in this product.",2
"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive)",This laptop held up great during shipping. No damage at all. I received it quickly as well. It's been holding up great so far. It's perfect for what I use it for.,2
"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive)",this guy sucks .laptop smell like B.O. BIG time.,2
"Dell Latitude CP M233XT Notebook (233-MHz Pentium MMX, 64 MB RAM, 4.1 GB hard drive)","I purchased this refurbished notebook computer from [another store] just last week. In a matter of days, the package arrived at my door. The product has many extras I didn't expect: a PC modem in a double PC slot, a handsome Dell carrying case, a Dell manual installed on the computer, and others. ... It turned out to be a great buy for the money for me.",5
"Sony VAIO PCG-FXA47 Notebook (1-GHz Athlon, 256 MB RAM, 20 GB hard drive)","I bought it thinking that Sony was a good brand, but they clearly have no clue when it comes to making computers. The first problem is the battery life. At first, it could last 20 minutes of websurfing, but now it doesn't last five minutes of sitting still with nothing going on. It immediately powers down without shutting down of hibernating. The second problem is the default hard drive configuration. Basically, they split it up which causes more problems since so many programs install to the C: drive by default anyway, plus Windows XP is bloated and takes up the majority of the space anyway, then PC-Cillin tries to take up a lot of space too and you've almost lost all of your C: drive space from these two programs alone. The third problem is the graphics card. It's integrated with the normal memory and has horrible performance. While I don't expect to be playing the latest games on this machine, it's not even capable of playing games that are ten years old with a decent speed. The fourth problem that I have is the LCD itself. It's not very bright, and with any sunlight at all it's unreadable. Other than those, it's a pretty standard machine. I managed to avoid some of the software problems others have by uninstalling one of the hotfixes of XP and upgrading the mouse drivers.",2
