model_name,review,average_rating
Samsung Galaxy S III / SGH-i747 16GB GSM Unlocked LTE Android Smartphone Blue,"Firstly, I'd like to point out that this review is primarily regarding the product received from Tablet Distributors (a featured seller under this listing, posted as New condition). When the item arrived, it was immediately evident that I did not have in front of me the box in the photos. It's technically carrier packaging, but it's a generic box from AT&T, with no printed information on the outside pertaining to this specific phone. The phone inside was in near-perfect condition, save for two very small blemishes that I can't seem to remove from the screen. It may be worth noting that these imperfections were covered loosely by a misaligned factory screen protector with the usual ""don't text and drive"" slogan AT&T is known for. Also, while the charger and battery door (and the phone, itself) seem to be genuine Samsung products, the battery is not. This creates problems when one is trying to get the phone to charge consistently, or to maintain a full charge if you ever do get it to that point. I've since ordered a genuine Samsung dock and spare battery, which comes with a handy one-piece wall charger, instead of the AC adapter/woefully short USB cable combination that comes in the phone's box. This new battery and charger seem to have cured all of my problems with charging, which is definitely a relief for me. The phone itself has proper specifications, as far as I know, to prove it's the exact model that's advertised here. The screen is absolutely beautiful, I must say. HD YouTube videos look flawless, though I may be easy to impress in this respect. I've previously owned a Nokia N900 (lovely phone, broken USB port) and a Motorola Atrix 2. The S3 seems to have so much more potential than these other models. I'm using this phone with Straight Talk and without any trouble. I can't really speak as to whether it's truly unlocked or not, since I've yet to have trouble using AT&T-locked phones on this service which also uses the very same network and towers. I CAN say that it's probably wise to find out which network your prepaid SIM-based service operates on in order to give you the best chance of having the same signal quality available to you. It's also good to know that these phones are capable of wireless charging, with a few accessories you can purchase here on Amazon. This is something that interests me, as I'm a bit paranoid about microUSB ports nowadays. All in all, this seems to be a great phone with enough tech packed inside to keep it feeling current for some time.",3
Samsung Galaxy S III / SGH-i747 16GB GSM Unlocked LTE Android Smartphone Blue,"Anyone considering purchasing this based on the (generic no carrier logo) images shown should be advised the 16gb phone is actually an unlocked att phone (stamped on back plate) and is loaded with un-removable att bloatware that takes up almost 5 gb of memory. After accidentally shattering the screen on my 5 month old T-mobile Galaxy S3, I SPECIFICALLY (foolishly) went with this seller as opposed to another (cheaper) seller because I DID NOT WANT an ATT phone, having dealt with their un-removable bloatware in past eating up huge chunks of memory and batter power; these programs can be 'force stopped.turned off, but restart on next powering on.. I now have basically spent $140 (incl tax) on what is essentially an 8gb phone loaded with battery draining att unneeded, unwanted, useless programs that I absolutely hate. Classic case of buyer beware. -.- Edited to add: Additionally, in examining the phone, although it was sold as 'new', it is clearly USED/REFURBISHED. The lens over the camera is chipped on one side and scratched, and the earphone jack has clearly been used numerous times, as has the usb/charging port at the bottom.",3
Samsung Galaxy S III / SGH-i747 16GB GSM Unlocked LTE Android Smartphone Blue,"It a nice phone. You all know the specs. It does come with a lot of loaded apps that take up plenty space. I must say, you probably should find a case for it. It seems a bit harder to handle than any other phone I've had, so I fumble with it a lot. I think it's a fairly fragile phone. It probably won't handle many small drops. Also, I always seem to turn it on when simply grabbing it or pulling out of my pockets. The buttons, on the side, are very sensitive. It seems like a very capable phone, but I struggle with the arrangement of the power and volume buttons on the side. Battery seems to need recharging 5-7 hours into the day with very little use. And, did I say, it has a lot of bloatware? I am constantly killing apps in order to preserve battery life. So much junk running in the background. I've been a Samsung fan for a long time. It all started with the Galaxy Player 5. That was a great device during that period just before the true smartphone boom. We have 3 Samsung LED TVs, two Galaxy 7inch tablets, a nearly 3.5 year old Galaxy Note 10.1 inch Tablet, a 10 in Galaxy Tab, and 9.7 inch Tab S2. This however is the first of the Galaxy line of phones I've purchased. While I like the look of the phone and the style, I'm not overall impressed with this device. Samsung loaded this with plenty of bloatware and AT&T also loaded it with a ton of crap. This is a late review of course. I just purchased this phone just prior to Christmas (2015), yet this phone has been out for probably 3 years. I liked the hardware specs and it finally fail into price range (approx $200) that I was willing to spend on a phone. I refuse to spend $600+ on a phone because it boast capabilities that I would never use.",3
Samsung Galaxy S III / SGH-i747 16GB GSM Unlocked LTE Android Smartphone Blue,"I am very pleased with the phone we received. It is a genuine Samsung S3. I purchased this for my wife, she took it to the ATT store where they plugged in a sim card and set it up within 5 minutes. No problems at all. It has performed flawlessly even after being dropped on our tile floor. I even like some of the displays better than my S4 which is probably associated with the S3 operating system. The price was in line with other sellers. Breed shipped the phone right away. I had read a number of reviews on this product advertised elsewhere on Amazon and was concerned about receiving a clone or refurbished phone as described by some other buyers (even from the same seller). However, I think that reviews may get bundled under specific product names so I suggest you just be sure what is being advertised for sale by the specific seller. This ad was for a new S3 SGH-I747 (US model) ATT phone and that is exactly what we received.",3
HTC Dash / S620 / S621 (Excalibur) Black Windows WI-FI Smartphone GSM Unlocked T-mobile Cell Phone,"Once I received the product in the mail I fully charged the cell phone before operating it. After a few hours of charging I inserted my sim card and tried browsing. the phone ended up shutting off on me. I turned it back on and decided to send a text. Several buttons for the letters weren't functioning at all, others needed to be tapped a few times just to get it to work. It was extremely aggravating dealing with a phone that was labeled as very good condition. The description of the condition should not have been very good since it was limited in it's functions. I would not purchase another item from this seller!!! false advertising !!!",2
HTC Dash / S620 / S621 (Excalibur) Black Windows WI-FI Smartphone GSM Unlocked T-mobile Cell Phone,"I purchased this phone thinking it was brand new in the Tmobile box, but it was refurbished. I purchased this for a Christmas gift and only 4 months after the purchase THE PHONE DOES NOT WORK. I am very disappointed and would appreciate a refund of my $75, but everyone knows that will never happen. Just be warned that you are not getting a decent phone and you will only have a working phone for a couple of months.",2
HTC Dash / S620 / S621 (Excalibur) Black Windows WI-FI Smartphone GSM Unlocked T-mobile Cell Phone,Phone looked good and arrived on time,2
HTC Dash / S620 / S621 (Excalibur) Black Windows WI-FI Smartphone GSM Unlocked T-mobile Cell Phone,"This phone is the biggest piece of junk I have ever seen. The unit itself is built solid as a rock, very durable but once you turn it on and try to use the features you are quickly frustrated by the lack of user friendliness and the terrible lack of memory. You constantly have to go into task manager, thats right task manager (this is a miniature version of the windows that you use on your computer) and close tasks to get the camera to function. If you have one too many things open it won't work AND when you exit back to the home screen the phone does not automatically close Apps you were using, they stay running in the backround and have to manually be closed in task manager. The keyboard was an awkward size for my fingers and to send a text you have to go to MESSAGES, then MENU, then select the type of message, E mail or SMS or MMS, THEN you have to go to folders and select NEW. It a 3 or 4 step process just to text vs just hitting an icon and going to town. The camera takes decent pics for a low pix unit but like I said you have to make sure you keep the memory clear. It's just a terrible operating system, totally inefficiant. I definitely would not recommend this phone.The dust cover for the charging port broke off the second day. I have already returned mine.",2
HTC Dash / S620 / S621 (Excalibur) Black Windows WI-FI Smartphone GSM Unlocked T-mobile Cell Phone,I was going to hook it up with T-mobile because the phone is for t-mobile. They pissed me off with a line of poop and told them what to do with there service So it is still in the box DONE!,2
HTC Dash / S620 / S621 (Excalibur) Black Windows WI-FI Smartphone GSM Unlocked T-mobile Cell Phone,"I chose a 5 star rate for this seller because they stand behind what they sell. If there is any problem they resolve it quickly and go beyond good customer service, they give GREAT customer service. I will be dealing with them again!",2
