model_name,review,average_rating
"Nook HD+ 9"" 16GB Wi-Fi Color Tablet","Excellent tablet for a Android device. The HD graphics are much better than any iPad for a fraction of the cost. It allows multiple logins so that you can have a separate profile for your kids that is locked down on the apps you want them to run, unlike an iPad. The display and memory options are fantastic I would buy another!",4
"Nook HD+ 9"" 16GB Wi-Fi Color Tablet","I used a few tablets since they have become mainstream and I can say that this tablet is a great middle-of-the-road tablet. I've had this tablet for about 4 days now and here is what I have found... The touch interface isn't quite as good as my iPad 3rd Gen, but it is better than most mid-range tablets and as good as some top rated tablets. CPU speed is a good mid-range also. PROS: +Full 1080P - 9"" display that really shows good images (movies and games look great on it) +Access to the Google Play Store (Amazon should take note) +MicroSD slot, up to 64GB card (I will in the near future put a bootable Android version on it) +Easy to copy my eBooks (or other files) from my home computer using ASTRO File Manager CONS: -No cameras (I wouldn't use it for photos, but video conferencing would have been nice). -No GPS (although if you turn on Google's Location Service it can get pretty close). -Proprietary USB charging port, makes it difficult to always keep it charged because you don't always carry the charging cable with you (and extra charging cables for the NOOK HD+ are expensive). -No sensor for ambient light to allow automatic screen brightness (this bothers me more than I thought it would). -WiFi connections can be flaky sometimes, but if you turn off the NOOK WiFi and turn it back on it seems to clear it up. -Mono speaker, but when stereo matters I am usually using headphones. -NOOK Profiles (up to 6), I thought this would be a PRO but their implementation only seems to give different 'tabletops', each user still uses the same programs and settings (such as the same screen unlock password), so my Jetpack Joyride game is the same as my kids and they keep spending my coins! ... :-/ -The screen is a fingerprint magnet (a screen protector should help this). -Can't load apps from 'Unknown Sources,' this is a pain because I have some apps I bought on the Amazon App Store and I can't load them. All-in-all I like it for what I got it for, some of its shortcomings are easily overlooked since I have a phone that can do the cameras and GPS. Worth the $150.",4
"Nook HD+ 9"" 16GB Wi-Fi Color Tablet","This tablet is amazing for running apps at home or using it as an e-reader. I was a little skeptical, considering the price, but it is a solid tablet. I originally bought it with the intent of rooting it, but even on the default Android OS, I am able to run everything i need from the google play store. Obviously gps, led, and camera functions don't work, but of course it was never designed for that. The kindle app works good which makes me wonder why anyone would get a different Android-based e-reader.",4
"Nook HD+ 9"" 16GB Wi-Fi Color Tablet",Don't know where to start. Bought brand new (supposedly- per ad) & started glitching almost immediately after purchase. Ironically within a couple days of return policy expiration...these 14 & 30 day return policies are absurd with how much the quality of electronics has decreased.,4
"Nook HD+ 9"" 16GB Wi-Fi Color Tablet",Good product for the price. Not an Apple I-pad but close. Biggest advantage is the ability to connect to a PC using the USB port. Not many tablets can do this and it is a huge advantage..,4
"Nook HD+ 9"" 16GB Wi-Fi Color Tablet",When i purchased this item i was to understand that it was new. When my son had a problem with the power cord and he called Barnes and Nobel we found out that it was in fact used. the warranty expired 10 days prior to the purchase! I called amazon and they are now sending me a new one! thank you amazon for making things right! =},4
"Nook HD+ 9"" 16GB Wi-Fi Color Tablet",Downloads my kids Google play games and my mom Got hers back,4
"Nook HD+ 9"" 16GB Wi-Fi Color Tablet",Very much please with this tablet so have no problems with it so far..Thank you,4
"Motorola ET1 Business Tablet - Android Jellybean, Web Browser, 802.11a/b/g/n, Built-In Barcode Scanner Driver",This is a worst device I have ever had. I have this device for less than a year and had gone through the tech depot for repair at least four times with the se problem. Will not charge. For the past three times they are able to fix it and works for a few weeks then the problem come back. It spent more time shipping back and forth between tech depot and my office than it is being use. Just sent another email to tech support and waiting to see what they have to say. Update: I received the unit back from the Depot. This time the battery is discharged and will not accept any charges at all. Meaning they couldn't fix the problem and send back the broken one as it was. GREAT JOB Motorola Solution.. Another email and call will be out to their customer service....,3
"Motorola ET1 Business Tablet - Android Jellybean, Web Browser, 802.11a/b/g/n, Built-In Barcode Scanner Driver","Awesome product. Manageable, secure, with Multi-user capabilities, durable, etc. Great for retail and field applications. There are also additional accessories, like scanners and card readers available that will make it great for these apps.",3
"Motorola ET1 Business Tablet - Android Jellybean, Web Browser, 802.11a/b/g/n, Built-In Barcode Scanner Driver","Its a great enterprise option for tablets: replaceable battery, management, scanning, and durability are great. I recommend it for warehouse, retail, and T&L.",3
"NEC Versa LitePad Tablet PC (933-MHz Pentium III-M, 256 MB RAM, 20 GB Hard Drive, CD-ROM Drive)","I've been using the NEC Versa Litepad since it was first released several months ago, and it's a great machine. The word recog. software is probably about an 8 on a 10-point scale -- not as good as Transcriber on my iPAQ, but if I'm careful about penmanship, it is about 97% accurate (in fact, I wish I could load Transcriber -- would be easier and faster writing with better recognition). Battery life is very good -- I can take notes for well over two hours, and the larger stylus is easy to write with. It has a long cord from the AC adaptor that is mostly unobtrusive, so you can recharge and keep writing. Customers/clients don't mind the Tablet b/c it's slim and looks like a writing pad. Resolution is very good -- increasing font size and icons makes everything quite readable, especially when I'm writing quickly and trying to get speech verbatim. The keyboard is flimsy with poor key travel and spacing, but I rarely use it anyway -- I really use it as a ""glorified PDA"" mostly. Using a Compact Flash card is great for transferring data b/w machines. Comes with WiFi, but I haven't gone wireless yet. Plugging in a flash card with digital photos from my Canon automatically starts a slide show -- cool feature. Ethernet connection makes it easy to go online. The unit gets warm but not uncomfortable -- especially compared to Toshiba and Compaq's tablets. I'm getting 'burn in' in the lower part of the display -- bummer -- but it's not a big problem. Since I use it primarily for note-taking with clients, I haven't really put it through its paces or exploited all its capabilities, but I'm impressed so far overall and like it better than the other Tablet PCs I tried out (Toshiba, Acer, Compaq). I've also noticed that it takes less effort to write on a Tablet with stylus than with pen on notepad. I've owned two other NEC notebooks and always had good luck. Looks like they've produced another winner. It is pricey, but I notice it's already $700 cheaper than when I bought it when first released.",5
"NEC Versa LitePad Tablet PC (933-MHz Pentium III-M, 256 MB RAM, 20 GB Hard Drive, CD-ROM Drive)","As a PhD student, I spend a lot of time in the library and I need a light computer like this to carry with me while I look through books. This is perfect--since it's barely two pounds, you often forget that it's there. With the LitePad, my (now) hand-written notes, papers, and articles are easily within reach whenever I need them; there's no more wishing I had brought more papers with me from home and the like. My Palm used to fulfill a similar function, but I've stopped carrying it now that I have this. I was especially surprised by how accurate the note-to-text feature is: even though it's not perfect, it's still many times better than what we had before. With my handwriting at least, it has about a 90% accuracy rate (usually the words it misses are words in other languages, etc). This machine has changed my life for the better, and I whole-heartedly recommend it to anyone else in academia.",5
"NEC Versa LitePad Tablet PC (933-MHz Pentium III-M, 256 MB RAM, 20 GB Hard Drive, CD-ROM Drive)","This is the perfect product for any psychotherapist. Taking notes on this is so much better than using a pad. All of each patient's sessions are in one place. Easy to download to my zip drive. I highly recommend it to any therapist out there. The only drawbacks to this model are the battery life and the need to get every available Windows Update since the software that comes with the tablet is not current. If your chair is near an outlet, then you are really set to go.",5
"NEC Versa LitePad Tablet PC (933-MHz Pentium III-M, 256 MB RAM, 20 GB Hard Drive, CD-ROM Drive)","I have had this pc for about one month. I really like it. The handwriting recognition needs some improvement but its incredibly portable and with practice it is very functional. I use PowerPoint presentations and the addon pgm ""Ink"" is incredible. The high price will limit the acceptance of this type of pc.",5
"Toshiba PORTEGE M200 Tablet PC (1.5 GHz Pentium M, 512MB, 40GB Hard Drive)","I purchased this used laptop for a bit over $200 bucks. I wasn't expecting much. My Motion Tablet died and I needed a replacement. I had purchased the newest cutting edge Asus tablet and was sadly disappointed. This was a ""what the hell"" purchase and I am DELIGHTED!! The laptop is in excellent condition and what's more it does everything I wanted! Even though it uses Windows XP, I can surf and shop and chat and write letters and balance the checkbook. The pen and keyboard are both easy to use and in great shape. But there is more! I am a frustrated fan of MusicMatch and I wanted to be able to use that program to play my music But it only works with Windows XP. Since this laptop uses XP, I can use my beloved MusicMatch and link to my music on my pc and play music with bluetooth speakers anywhere in the house. Heaven! It's not just that the hardware seems to be in good shape, the installed programs are very helpful. What a smart little shopper I am!",3
"Toshiba PORTEGE M200 Tablet PC (1.5 GHz Pentium M, 512MB, 40GB Hard Drive)",Not what I want it it works great but older PC,3
"Toshiba PORTEGE M200 Tablet PC (1.5 GHz Pentium M, 512MB, 40GB Hard Drive)",Very bad crashed on me after two weeks....would not buy again.,3
"Toshiba PORTEGE M200 Tablet PC (1.5 GHz Pentium M, 512MB, 40GB Hard Drive)","This tablet is piece of Junk..... It does not have 1.5 mhz, 40GB hard drive and 5400 RPM, instead it has zero speed. I purchased this as a gift and I am so embarrassed. This was a Bait-and-Switch, which is illegal in United States. I am very disappointed in Amazon, this is the third item I purchased from Amazon that was not as advertised.",3
