model_name,review,average_rating
"Sony KW-34HD1 34"" Trinitron HDTV","Finnally Sony is trying to catch up to the competition. But with a huge price tag more then double their competitors of the same size hdtv set who are they kidding. And of course this model is not available anywhere. You can not even find it on sony's web site. So amazon knows about it but that just means they plan to sell it in the us. Who knows when, and at $...I don't see them selling to many. Don't get me wrong I love sony products everything I own is sony, if this product was priced comparably with it's competition I'd be at the store right now picking it up. Looks like the competition is still got the upper hand on HDTV. I hope sony corrects this soon as it's almost football season.",4
"Sony KW-34HD1 34"" Trinitron HDTV","We initially were purchasing a cheaper tv...Well that was until we were educated by tweeter. This Television is a beauty...make no mistake!! The picture is clear, crisp and concise. Set up was not as I read in previous reviews as being easy, it was anything but easy. But then we(my husband and I) are not techo buffs. My son has since played with it and is finally set up perfectly. we love it and that says alot because i am definately not a couch potatoe...but not I cant wait to get home to veg out on the couch with my remote in hand....Incidently we also purchased the sony 5 disc progressive scanner dvd/cd player and love it too",4
"Sony KW-34HD1 34"" Trinitron HDTV",This TV is excellent. I watch HDTV movie channels through Dish Network and the picture is incredible. Compared to the huge projection TV's this TV's picture is unbeatable. It compacts 1080 lines into a space of 34 inches as opposed to 64 or another big screen size. This tv makes going to the movies obsolete.,4
"Sony KW-34HD1 34"" Trinitron HDTV","This TV is amazing. Images are crisp, color is great, resolution is stunning, and the technology is impressive. You will not be disappointed with this HDTV! Setup was very easily and it is virtually self configuring.",4
"Sony KW-34HD1 34"" Trinitron HDTV","Finnally Sony is trying to catch up to the competition. But with a [price] price tag more then double their competitors of the same size hdtv set who are they kidding. And of course this model is not available anywhere. You can not even find it on sony's web site. So amazon knows about it but that just means they plan to sell it in the us. Who knows when, and at [price] I don't see them selling to many. Don't get me wrong I love sony products everything I own is sony, if this product was priced comparably with it's competition I'd be at the store right now picking it up. Looks like the competition is still got the upper hand on HDTV. I hope sony corrects this soon as it's almost foot ball season.",4
"Sony KP-43T70 43""  Projection TV","This is a GREAT TV! The picture (depending on source) is phenomenal. The size (video picture and physical object) does not overwhelm you. The TV can be viewed comfortably without being on a TV stand. The design of the TV & remote is excellent. I had an opportunity to view this model in a store, and my eyes were drawn to its picture quality (and I had to remind myself of its physical size). This TV fits well in a room size 13x13. It can be viewed comfortably even sitting a couple of feet from it. There are five picture modes, 2 of which can be programmed to the viewer's preference. Because of its size, widescreen movies are enjoyable (before, when choosing a video as either VHS or DVD, I would pick VHS if the DVD was in widescreen format). There are 4 video displays, three of which can be programmed to accept 8 different components. Sony has included a lot of programming choices in this model. Connecting a receiver, VCR and DVD (and getting them to work) took about 4 hours. The TV needs to be off when connecting a component. Each component should be added one at a time, rather than plugging & connecting everything at once and then turning the TV on. Apparently the TV needs to 'read' each component before it's recognized. The manual was somewhat confusing (because there are usually 2 to 4 combinations to use), but after a component was added you just follow from the previous example for additional components. P.S.: the more components you add, the more every cable & power cord needs to be labeled. The remote is comfortable to handle. There are problem with it though: 1) in order to use a component, more than just one button needs to be pressed; 2) you still need to use the remote that came with the component. This can easily replace a 27-inch to 36-inch TV. It weights ~150 pounds and the footprint is small (20 D x 37 W x 42 H). As the source of the picture increases in quality, especially from the local TV stations, this model will be enjoyed more and more. Then a viewer will have a true movie experience at home. I chose this TV based on: 1) picture quality; 2) video size & physical size; 3) design; 4) price [remember what you paid for your current computer? It will outlast it! ] If you can find a vendor, buy it! Do not wait! It will be the best investment!",4
"Sony KP-43T70 43""  Projection TV","While shopping for a large screen television, I had considered the 32"" and 36"" Sony WEGAs. However, this 43"" Sony projection TV had key advantages over the CRT WEGAs. KP-43 Advantages: Thinner (shallower depth) than the 36"" WEGA; Lighter (about 100 lbs) than the 36"" WEGA; and Larger screen viewing area (43"" vs 36""). CRT Advantages: Wider viewing angle (both vertical and horizontal); and Shorter minimum viewing distance. Although the KP-43 projection TV has a larger screen, it is lighter and can be moved more easily. It also is a good choice for apartments or other smaller living spaces. If picture quality is critical to you, then you should be aware that you may lose detail in the shadows since the black levels do not seem to be reproduced as consistently or accurately as a professional monitors. To calibrate your TV for your viewing environment, I recommend renting the ""Video Essentials"" DVD. In general, you may need to decrease the PICTURE (contrast), BRIGHTNESS, and SHARPNESS settings to achieve the best picture quality. With the factory settings, you may notice blooming and additional noise. You may also notice all the noise from traditional cable and broadcast signals. Therefore, you may wish to subscribe to digital services. There is a single component video input on the TV, which may not be enough if you have digital cable and a DVD player. You may need a separate component video switcher to accommodate multiple component video sources, or you could sacrifice some picture quality and use S-Video connections instead.",4
"Sony KP-43T70 43""  Projection TV","I was recently in the market for a larger screen TV set. The 32 to 36 screen was going to be the perfect size given my family room deminsions. I was considering the Sony WEGA XBR, Toshiba, and Misubishi. Then one day as I walked through one of the retail stores in my area, I saw the Sony 43' Rear Projection Set. The compact size, the Larger Viewing Screen, Picture Quality, Enhance Digital Features and The Price, were very impressive. My search was over. It's been a week since the TV was delivered to my home and I can truly say that it has been a wonderful experience. There are a couple of things to be aware of: * Getting all the components connected can take a little time. * Limited space in the Stand for adding components. Overall I think Sony 43' is a great investment if your considering 32 to 36"" TV's. You'll get excellent picture quality at a better price point.",4
"Sony KP-43T70 43""  Projection TV","I just purchased my TV about a week ago. The picture quality is very good, most people think it is a direct TV not projection. The built in screen protector gives the picture more clarity. And the TV definently benefits from a digital source such as satellite tv. Hooking it up is somewhat confusing if you have a number of components. For the money I don't think you could find a TV of this size with better picture quality. My only complaint is not with the TV, but with the optional matching stand. The stand is pretty much useless if you have more than two components. You cannot put two components side by side because the stand is not wide enough. And even after removing the shelf, it is not tall enough to stack components on top of each other. The stand needs to be about 3"" taller and 4"" wider. Sony's designers obvivously did not put a lot of thought into the stand when it comes to function.",4
"Sony KP-43T70 43""  Projection TV",I just got this and it is incredibly clear! I thought myself that this was a direct view in the store until I really looked close. The picture is so sharp and detailed. The built in screen saver makes it look even more like a direct view. Channel labels and easy set up make everything go easy. The color tubes will even align themselves at the push of a button! Put in A Bug's Life on DVD on this TV and you'll think you are there. You can't go wrong with it.,4
