model_name,review,average_rating
Jobar International RET3731 Driveway Patrol,"It's cheap, but does the trick. Product placement is the key, both for the sensor to pick up people and cars, and the receiver to pick up the signal from the sensor. Play around with it until you get it just right. For me, I found it best to point the sensor a little more toward where cars and people approach my property. I built a shelter out of a wooden fence section for the sensor to protect it from rain and attached the shelter to a tree next to my driveway (see the picture that I posted). Is this thing perfect? No. For this price, what do you expect. But for me, it will do just fine. In fact, I already ordered a second kit so that the back side of my property is covered too.",3
Jobar International RET3731 Driveway Patrol,"I bought this after reading the mixed reviews and decided to take a chance. In my situation it worked pretty well with few false alarms here and there. I installed it to a beam on the front porch, which alerts me anyone standing in my front door that didn't ring the bell. This usually applies to drop-off of smaller items from Amazon, and other carriers. Now whenever a packaged is dropped off without ringing my bell, I will know immediately when I'm home! As for sensitivity, my porch is pretty much blocked off/closed off in most directions so it only has a small area to detect. Only one direction has a tree 30 feet in sight. There has been false alarm whenever wind blows hard enough to cause the branches and leafs to move. I understand this device has pretty good range, so that's understandable. Do make sure you put in batteries that have similar charges left (or brand new). I first put any available batteries (including one that's 3/4 drained), and it wouldn't receive the signal from the motion sensor consistently. This warning is given in the small instruction manual, but who reads that first!",3
Jobar International RET3731 Driveway Patrol,"I have Six of these units around the perimeter of my property and have been using them for up to three years now. During that time I have experimented with placement to get the best balance between false alarms and not picking anything up so here are some tips I have found. Sensor placement; 1) Avoid pointing toward rising or setting sun as you might get false alarms in the morning or evening. Also if it is in a place where the shadows of tree leaves moving on the lens will give you false alarms also. 2) As most PIR detectors, they are least sensitive to objects moving toward them as opposed to side to side so keep this in mind when you place them. 3) I found that a height of 7 feet works well in an open area like a yard or parking spot and 5 feet if you want a small area like doorstep small deck. 4) Make sure the sensor is mounted very solid so it will not move. I use the mounting hole and velcro on the back. 5) Although I have done it, These units are not sealed enough to just hang out in the weather as water will eventually seep in through the front lens or where the case mates. I run a small bead if silicone around the case joints and along the bottom of the lens area and case to keep the driving rain out and have several that are attached to a telephone pole for two years and are still working. Or you could put it in a birdhouse in the right application. Range of the unit. I consistently get 300 feet or more with these as long as the sensor and reciever are placed well. 1) The sensors antena is in the back of the unit so if it is pointing in the direction of your reciever the range will be reduced by almost half in my experience. Side on works ok but if your looking for range beyond 200' you wont get it unless its at 45 degrees or straight on. 2) DO NOT mount the unit on anything metal or have metal between the sensor and the reciever otherwise your range will be greatly affected, this goes for the reciever as well. 3) The less things that are in the path of the sensor and the reciever the better. I like to put the reciever/s in a window on the same side of the house as the sensor for the best results. 4) Battery condition in sensor affects range. Limitations 1) come on guys, its a $15.00 unit! , you cant buy a good PIR detector for less than $40.00 let alone wireless and a reciever. It's not human presence detection system. Place the units correctly and it will give you a pretty good idea if someone is around or comes in the driveway. 2) Since it relies on changes in the heat signature, it might not pick up a car that was sitting in the sun all day and the same teprature as the the area in front of it. Its pretty good especially if the car drives by the unit not toward it. Its a $5.00 sensor element if that but works well for what it is. 3) I have only had one bad unit out of about a dozen so thats not bad but you can get a bad one. Just ensure you go through the tips above before you give up on the unit. 4) if you buy multiple units it is hit and miss with the frequency settings which you cant change. You might get 3 units that work with the same reciver or have 1 that only works with its reciver. I have six right now working on two different recievers so one is the front of the house and in the front window and one for the back. I hope this helps anyone with these units out. Cheers.",3
Jobar International RET3731 Driveway Patrol,"The outdoor sensor unit worked great; no problem at all there. Two problems, however, with the indoor receiver chime. First and foremost, it wouldn't work. Batteries, fully charged and new, were inserted properly, but no chiming occurred when the sensor was tripped. The separate problem was with the battery cover on the inside chiming unit. When my husband slid the battery cover back in, the two small pieces of plastic that hold the bottom of the door in place broke off. So, the battery door would no longer hold. If the unit would just have worked, putting duct tape on the battery cover to hold it into place would have been fine with us. A working unit means more to me here than its aesthetics. Reality is, though, that we're in such a fast production line age that we can't expect every product we buy to work. Lemons get through the system. Unfortunately, in this case, one of those lemons made its way to my house.",3
GE Personal Security Door Stop Alarm,"I bought this door stop alarm to use on my outside door each night. My wife and I live in an apartment in the city and it is always a smart idea to have a little extra security. As you can tell by the picture that I provided it is a relatively straight forward design. It is about the same size, maybe slightly larger, than the usually door stops you would see at your school or office. If you look at the picture of the bottom of it you will see that there is a piece of rubber on the bottom that helps to keep it from moving with the door when it opens. I have tested it several times and the rubber piece does a good job to keep it in place. However, I have had it slide across the floor one time when I was testing. Since that scared me a little bit, I now use an extra piece of tape on the bottom of it when it is in use. Works like a charm now! The level of noise seems to be pretty darn loud. It is loud enough that when I go to test it before bed, and my wife is near it, I usually get a look of disgust from her annoyance. We can easily hear it from about 30 feet away through a bedroom door. The battery life has been pretty amazing. We have had it for about a year and a half and we are just now having to replace the battery. (hence why I thought to write this review). Overall: This is a great supplement to home security and very well priced! I give it 4 stars simply because of the rubber on the bottom not being sticky enough, but this is easily fixed with a small piece of tape. Otherwise I highly recommend! I have also attached photos! Thanks.",3
GE Personal Security Door Stop Alarm,"I've been using this for about 3 years and here are some tips for using the GE Smart Home Door Stop Alarm. 1. Before purchasing make sure you have enough door spacing that the door stop alarm can be activated by the door opening and depressing the metal activator on the door stop alarm. (If there is not enough spacing then it will just push the stopper away from the door and won't go off) 2. When putting it in your baggage or luggage for travel I recommend either taking the battery out so it doesn't accidentally turn on in your bag or putting a piece of tape over the switch so it doesn't move. 3. When placing the device in your door, give it a test by opening the door and checking that it will activate the alarm. You can also place something heavy behind the door stop alarm so that it won't slide when the door is opened and touches it, raising the chances that it will depress the activator. 4. Make sure you keep some spare 9V batteries around for this and that you have one before you throw this in your bag. Check the battery by testing the alarm before you pack it away. 5. Place this on your door at every hotel you visit. This also makes a great gift for frequent travelers. 6. You need a small Phillips head to access the battery compartment. If you have more feel free to add them below. Thanks! 4.5 stars for it being too easy to accidentally switch the alarm to on in your bag and a pain in the butt to change the battery. You need a small Phillips head to access the battery compartment.",3
GE Personal Security Door Stop Alarm,"Purchased one each of GE Personal Security Alarm and SABRE Door Stop Alarm for comparison test. The SABRE and GE are very comparable in cost, size, and weight, but the SABRE's features far surpass the GE's. The SABRE's alarm can be heard throughout our 3,800 sq. foot home and is MUCH, MUCH LOUDER than the GE's. GE's alarm stops as soon as the door pressure against it is released, while the SABRE's alarm only stops after the ON/OFF switch on the back of the unit is turned off. Based on my 26 years of experience as a police officer I feel confident in assuring you that the SABRE is far and away the best choice for a very inexpensive, simple to use, and highly efficient door alarm system. I believe the GE Personal Security Door Stop Alarm will disappoint, but the SABRE Door Stop Alarm will exceed your highest expectations!",3
GE Personal Security Door Stop Alarm,"I purchased this because I found myself staying in slightly dicey circumstances, alone for several weeks in a very large house with no nearby neighbors or working alarm system and more than 19 easily-broken-into doors and windows. After receiving it and hearing how loud it was, I also thought anyone breaking in and hearing it go off would assume there was an alarm system set, and possibly take off because of it. Not as good as a serious door lock - the kind we had in New York when I was younger, that props up against the knob and literally prevents someone from opening the door - but small enough to pack and carry with you. If you stay in a lot of hotels and are a bit nervous about your door being opened, this is a good choice. I'd give it five stars but for a few things that make it annoying for travel (which is, after all, what it's pitched for): 1. In order to get the battery out, you have to remove the non-skid bottom. That would be okay if the bottom attached with two regular screws (one top one bottom or center) so you could open them with a coin. However, the screw requires a tiny Phillips head screwdriver to get it out. So if you're traveling and want to make sure it doesn't go off in your suitcase by unplugging the battery, it's a real pain. You have to travel with a Philips head screwdriver small enough to fit the screw (Swiss army knife, for instance, is too big). If I were these folks, I'd have included a tiny Philips head that could be taped to the side of the device. 2. If you're travelling with it and don't want to remove the battery or unhook it, your only other choice is to use the ON/OFF switch, which is small and light enough to accidentally go from OFF to ON in your luggage if jarred against something. The switch should have a cover ensuring this doesn't happen (or you should carry gaffer tape and tape it to OFF before packing). 3. The above issue could potentially be avoided if they sold a well-fitting see-through case for it. The alarm comes in a No-Human-Can-Possibly-Open see-through plastic thing, I used that for packing, and put a ""Dear TSA, this is a personal travel alarm"" note with it along with visible directions. But the plastic sales case is large, difficult to open, and will crack soon. I realize I'm noting several things that, given the reasonable price and efficiency, probably won't matter to anyone - but be aware that you will need the Phillips head screwdriver to work with this.",3
Panavise 809 Camera Window Suction-Cup Mount,"This clearly is designed to be a CCTV mount. As such, with most CCTV cameras having top mounted attachment, I have no doubt that it works flawlessly.It is very well constructed and does indeed have amazing suction power and solid construction without any ""wriggles"". I bought it hoping that I could use it on the fairly steeply raked windshield of a late model Civic to film driving routes with my digital camera. Even though I have a low profile ""ultracompact"" digital camera, there was not enough room between the windshield and the mount to allow me to mount the camera - unless I mounted it upside down, which I obviously could not do because of the inability to rotate the resulting movie. FORTUNATELY I discovered that the Civic has a flat non-porous ( i.e. plastic ) top gauge cover, and was able to mount it on that. But the vast majority of cars have curved top gauge covers, so I don't think this will be suitable for any but a few car models for the purpose I'm using it for. If Panavise could come up with the same assembly and a U - shaped holder for mounting a camera with a standard tripod screw thread from the bottom, BELOW the mount - now that would be far more useful.",4
Panavise 809 Camera Window Suction-Cup Mount,"This is the big mama jama of suction cup mounts. I've only used it twice so far, but both times it is incredibly strong and doesn't let up. I can use it to pick up the steel hood of my car! ( like 28 lbs I believe). Adjustments are easy to make and stay where you've left them. Excellent suction mount, especially for the low price! (I mean... except for those complete trash suction mounts that are like 10 bucks... but please dont even try those.. they're REALLY bad) Update: I have now owned this camera for 2.5 years and damn. This thing never quits. It does appear worn, but definitely not broken. The construction is very high quality and the clamps are very well made. I have run it in salt water, fresh water, in the air, on cars, on helmets, on windows on buiildings, on the side of a bus, on the dashboard of my sand rail and untold number of other places. I wont say it's perfect, because it's not, but if you're shopping for a 100% vibration free suction cup for a small dlsr for under 30 dollars then I would suggest you look elsewhere. If you're looking for a suction cup mount that has almost never let go on me (only once... and that was because i put it on a grimy dirty piece of pot metal... which was very foolish)this is it. I left it on the side of my car going 80 mph for 4 hours and it didnt quit. It's probably good enough for your needs. I will, however, be replacing this with another of the same at the end of this year because of all the salt water use this has seen I am worried some components I cannot see are rusting away. It's just about as tight as ever, however.",4
